a,b,w,rule,quoted,shingle,scanned
skills/state-the-rule/LOG.md,skills/state-the-rule/SKILL.md,40,true,a neighbour left pointing back at nothing a heading that swallowed the line under it a phrase the rewrite now says twice and an indent lost at a join;a second vocabulary would arrive closed inside an artifact whose whole generality is that its vocabulary is declared;once a patch has moved the grain the standoff holds units those inputs never had,10,129
docs/manifest.md,docs/show-repo.md,39,,the membership rule the config cache the mailbox inbox and outbox proposals the repo menu and editing the manifest from the shell;the sidebar repos index the app view nav its promoted pages with it the repos grid and the activity crawl;not an n repo scan a cold cache falls back to a live per repo scan and then rebuilds,10,129
docs/environment/testing.md,docs/headless-vendoring.md,30,true,import alpinejs dist module esm js never bare alpinejs the package has no exports map cjs interop double wraps the default export and the symptom is alpine start is not a function;ignore certificate errors curl node python use the system bundle and don't need it the flag,10,129
docs/SNAGS.md,docs/text-content.md,26,true,swipe deck js documents fourteen options where the code reads twenty and omits three keys from the return it describes stage js;a second agent per file told only to find where the first was wrong found eleven defects;toss render html 's header restates three arguments its own per site comments own,10,129
README.md,docs/loader.md,18,,a branch name is cache safe the use boot fetches gh api js from raw githubusercontent no branch tip cache and blob imports it and;the no use main default which is cache stable and shared,10,129
skills/atomic-decomposition/SKILL.md,skills/source-anchored-writing/SKILL.md,16,,as true y itself causal and sequence links because led to after which assert a relationship the;hide in plainer prose characterizations stated as fact the troubled program asserts trouble the;announce themselves a figure a date a dollar amount a named quote,10,129
docs/loader.md,tools/README.md,15,,the build still honors use ref an explicit ref falls through to the network so a built page can be re pinned for review,10,129
docs/SNAGS.md,docs/loader.md,14,,pr 584 merged at 09 35 and the budget drs submittal page in mehrlander home;by forcing url params js and repo address js into the auto boot chain;run after alpine has walked the dom and called init every kit,10,129
docs/show-repo.md,docs/stage.md,13,,the stage link is also a surfacing primitive in surfacing md surfacing md stage a fileset the;keeps its reader lib kits surface js lib kits surface js and its contract,10,129
pages/wsl-sync/IMPORT.md,sites/lawfilesext.leg.wa.gov/IMPORT.md,12,,import provenance imported from mehrlander wa bills https github com mehrlander wa bills at commit c3a9f4a on 2026 05 07 files,10,129
docs/SNAGS.md,skills/daisy-alpine/SKILL.md,11,,session loaded the bundled dataviz skill whose form heuristic offers a stat tile or hero number as a legitimate answer,10,129
docs/APP.md,docs/show-repo.md,11,,the web tools app open it web tools https mehrlander github io web tools app;every view keeps a one tap route to the github presentation of what it,10,129
pages/drop/fills-concepts/1-chain-constructor/PROMPT.md,pages/drop/fills-concepts/2-tagged-factory/PROMPT.md,10,,1 html each was pasted into its own fresh session see catalog md for the cross page analysis;the prompt that generated the pages in this folder aic,10,129
docs/code-layers.md,lib/kits/README.md,10,,lib root kit migration dind5t tracker tasks lib root kit migration dind5t md;tools test code layers test mjs holds the boundary in all three directions;the loader the files extending its prototype and the boot bundles,10,129
docs/branch-overlay.md,docs/show-repo.md,10,,the sidebar's second ref the ref bar's in place actions and dropping a file on a branch;the branch overlay preview a cross repo change before it merges,10,129
docs/APP.md,docs/manifest.md,10,,a view whose subject is content is an app view over the repo that owns it;a view whose subject is the estate is built into the shell,10,129
pages/drop/fills-concepts/2-tagged-factory/PROMPT.md,pages/drop/fills-concepts/3-reactive-surface/PROMPT.md,8,,each was pasted into its own fresh session see catalog md for the cross page analysis;the prompt that generated the pages in this folder aic,10,129
pages/drop/fills-concepts/1-chain-constructor/PROMPT.md,pages/drop/fills-concepts/3-reactive-surface/PROMPT.md,8,,each was pasted into its own fresh session see catalog md for the cross page analysis;the prompt that generated the pages in this folder aic,10,129
docs/manifest.md,docs/stage.md,8,,this is its reference split out of show repo md show repo md on 2026 08 16,10,129
docs/environment/container.md,docs/environment/extending.md,8,,a cloud setup script https code claude com docs en claude code on the web environment caching,10,129
docs/envelopes/data-view.md,docs/envelopes/shorter.md,8,true,payload js which decides what it is rather than asking bare is any;two shapes no declaration a payload is read by lib kits;lib kits data payload js lib kits data payload js,10,129
docs/SNAGS.md,skills/daisy-alpine/references/mechanics.md,8,,tailwind v4 then defaults border color to currentcolor v3 defaulted to gray 200;defines 207 classes on a semantic colour across 25 families and;so the ring stays a ring and takes no layout space,10,129
CLAUDE.md,docs/showing.md,7,true,only a page renders this way for a kit or doc links the new blob and,10,129
skills/daisy-alpine/SKILL.md,skills/daisy-alpine/references/mechanics.md,6,,kits note js https github com mehrlander web tools blob main lib kits note js,10,129
docs/surfacing-extended.md,skills/shortcut-links/SKILL.md,6,,payload keeps its actions and loses its label so it works and misreports at once,10,129
docs/envelopes/surface.md,docs/stage.md,6,,surface files and the bench could promote its working set into one both went;is still true a year later with no tool running,10,129
docs/branch-overlay.md,docs/stage.md,6,,split out of show repo md show repo md on 2026 08 16;what establishes that a surface can re address is the handle,10,129
skills/docx/SKILL.md,skills/pptx/SKILL.md,5,,pdf conversion auto configured for sandboxed environments via scripts office soffice py poppler pdftoppm,10,129
lib/kits/README.md,popups/data-shelf.md,5,,page in cfg types the canonical set of valid type names lives;ui metadata for each type label badge exec lives on the,10,129
docs/show-repo.md,skills/daisy-alpine/references/mechanics.md,5,,js https github com mehrlander web tools blob main lib kits source peek js,10,129
docs/show-repo.md,docs/showing.md,5,,surfacing decides what to hand over showing is what makes it openable;the claude app's in app browser keeps its own storage so,10,129
docs/envelopes/data-view.md,docs/environment/testing.md,5,,tools render scenarios data view item mjs tools render scenarios data view item mjs,10,129
docs/code-layers.md,lib/ops/README.md,5,,tools test code layers test mjs tools test code layers test mjs;an op is one file that is one value a single,10,129
docs/branch-overlay.md,docs/manifest.md,5,,split out of show repo md show repo md on 2026 08 16 the,10,129
docs/inbound.md,docs/venues.md,4,,an inbound channel with no venue behind it is a message nobody reads,10,129
docs/favicons/README.md,docs/text-content.md,4,,were picked against real icons on a light and a dark tab strip,10,129
docs/SNAGS.md,docs/show-repo.md,4,,github answers an api read with cache control private max age 60 so,10,129
CLAUDE.md,docs/show-repo.md,4,,and the name split web tools where a reader is addressed show repo,10,129
pages/drop/fills-concepts/3-reactive-surface/PROMPT.md,pages/drop/fills-concepts/CATALOG.md,3,,aic 2 html aic kimi html collection browser html collection browser 2,10,129
docs/surfacing-course.md,docs/surfacing-extended.md,3,,and is injected into every session this file is not and is,10,129
docs/github/mcp.md,docs/surfacing-extended.md,3,,a url of 150 characters or more is wrapped in backticks and,10,129
docs/github/README.md,docs/github/markdown.md,3,,when you view a md on github no javascript no build step,10,129
docs/environment/capabilities.md,docs/github/README.md,3,,mcp layer does to a call and to the text it carries,10,129
docs/column-primitives.md,docs/text-content.md,3,,https github com mehrlander home blob main projects budget drs data design,10,129
docs/code-layers.md,tools/README.md,3,true,still overlap on their default path only the overlay posture distinguishes them,10,129
docs/artifacts.md,docs/show-repo.md,3,,the claude app's in app browser keeps its own storage so the,10,129
docs/SNAGS.md,skills/phosphor-icons/SKILL.md,3,,measure the element's width before suspecting the state that controls it;reads as a logic bug and gets debugged as one,10,129
docs/SNAGS.md,docs/environment/testing.md,3,,the point is what the page does on load at that fragment,10,129
docs/HTML-STYLE.md,docs/SNAGS.md,3,,skills daisy alpine references mechanics md skills daisy alpine references mechanics md,10,129
