repo,number,head,prefix,label,identity,created,title
mehrlander/home,404,agent/local-model-systems,agent,,local,2026-08-03,Start Local Model Systems project
mehrlander/home,471,agent/add-quips,agent,,web,2026-08-19,Add a quips file at natural sentence size
mehrlander/home,481,tracker/docked-pane-card-overflow,tracker,,harness,2026-08-20,tracker: a pane's cards escape the pane when docked
mehrlander/home,542,codex/term-migration-register,codex,codex,web,2026-08-29,Start term-migration project with register case
mehrlander/home,544,copilot/look-at-trackers,copilot,copilot,web,2026-08-29,Count dormant tracker states in registry summaries
mehrlander/home,545,codex/decision-package-fiscal-note-analysis,codex,codex,web,2026-08-29,Add decision package and fiscal note analysis
mehrlander/home,629,claude/budget-drs-changes-unlanded-t95ijd,claude,claude,harness,2026-09-10,"submittal: the ABS Documents panel re-read, and the 02.01 it now serves"
mehrlander/home,630,claude/budget-drs-ben-view-review-n616d3,claude,claude,harness,2026-09-10,"Portals against its feasibility study: the project total holds, the maintenance tab does not"
mehrlander/home,631,claude/friendly-dijkstra-wn4v69,claude,claude,harness,2026-09-10,"submittal: a resize deferral is a notice, and the banner stops reporting it"
mehrlander/home,632,claude/stoic-bardeen-8ckvht,claude,claude,harness,2026-09-10,"Submittal: the CORE Portals re-supply, and the workbook's rows are not objects"
mehrlander/home,633,claude/adoring-bardeen-rjakju,claude,claude,harness,2026-09-10,submittal: a Fiscal Summary table stripped from 02.01 and filled for CORE PAM
mehrlander/home,634,claude/zealous-fermat-s12v9r,claude,claude,harness,2026-09-10,"Point at /portable:default, the renamed conventions skill"
mehrlander/home,635,claude/busy-tesla-6s09w3,claude,claude,harness,2026-09-10,submittal: a package subtab gets an outline of its own headings
mehrlander/home,636,claude/busy-tesla-6s09w3,claude,claude,harness,2026-09-10,"submittal: the rail's prose figures, measured instead of subtracted"
mehrlander/home,637,claude/budget-drs-submittal-view-ap29zn,claude,claude,harness,2026-09-11,"Submittal: the page says what to do, in one line a row"
mehrlander/home,638,claude/budget-drs-questions-rlgbse,claude,claude,harness,2026-09-11,"Submittal: the Overview's lists say which table they are, and keep their closed rows"
mehrlander/home,639,claude/budget-drs-pills-styling-fbpic9,claude,claude,harness,2026-09-11,"Submittal: the appendix tags take DRS's two colours, and the wrapper stops capping the split"
mehrlander/home,640,claude/budget-drs-submittal-view-lqyk3v,claude,claude,harness,2026-09-11,Submittal: work the outstanding list down to what the packet owes
mehrlander/home,641,claude/prioritization-codes-amounts-gfb8ra,claude,claude,harness,2026-09-11,"Submittal: the prioritization worksheet waits on ABS, and the matrix drops what is not a deliverable"
mehrlander/home,642,claude/amazing-ritchie-a7n1n0,claude,claude,harness,2026-09-11,Land the CORE PAM technology budget version history
mehrlander/home,643,claude/amazing-ritchie-a7n1n0,claude,claude,harness,2026-09-11,Hold the five CORE PAM tech budget amendment workbooks
mehrlander/home,644,codex/core-pam-tech-budget-history,codex,codex,local,2026-09-11,Clarify CORE PAM technology budget history
mehrlander/home,645,claude/budget-drs-core-pam-p0wnkp,claude,claude,harness,2026-09-11,"Submittal: the CORE carry-forward sourced from ABS, and the fee step dated"
mehrlander/home,646,claude/relaxed-shannon-9dm6zz,claude,claude,harness,2026-09-11,"Submittal: retire the requirements matrix, split its rows onto Elements and the IT Addendum tab"
mehrlander/home,647,claude/budget-drs-core-pam-p0wnkp,claude,claude,harness,2026-09-12,The CORE PAM package page carries its funding-history language
mehrlander/home,648,claude/budget-drs-agent-personas-0nw36q,claude,claude,harness,2026-09-13,"Review: the seats, and the reviews conducted, inside the Data view"
mehrlander/home,649,codex/core-pam-layout-pass,codex,codex,web,2026-09-13,Refine CORE PAM table layout
mehrlander/home,650,claude/zealous-hypatia-yzua1h,claude,claude,web,2026-09-13,"Submittal: the package panes open on the package, and both state the model"
mehrlander/home,651,codex/authored-use-locator,codex,codex,local,2026-09-13,Declare Budget DRS authored result isolation and UI uses
mehrlander/home,652,codex/submittal-readme-single-view,codex,codex,local,2026-09-13,Make the Budget DRS submittal view authoritative
mehrlander/home,653,claude/web-tools-readme-map-coverage-kpc7pt,claude,claude,harness,2026-09-13,"The conventions arrive through the plugin, not through a checkout"
mehrlander/home,654,claude/intelligent-archimedes-kn2ezu,claude,claude,harness,2026-09-13,"Read a workbook export as a paste, and write its fixes back as a patch"
mehrlander/home,655,claude/admiring-shannon-e8zahr,claude,claude,harness,2026-09-13,Read a file's standoff note before asking what it is
mehrlander/home,656,agent/abs-guide-refinement,agent,,local,2026-09-13,"Submittal: refine the 35 ABS guide anchors, and record what tells a preparer the packet is ready"
mehrlander/home,657,claude/claude-md-repo-injection-rmffx1,claude,claude,harness,2026-09-13,Name the session-start hook invoke-default in CLAUDE.md
mehrlander/home,658,codex/word-fiscal-summary-powershell,codex,codex,local,2026-09-13,submittal: build Fiscal Summary table and document Word workflow
mehrlander/home,659,claude/excel-extraction-web-tools-q6f11b,claude,claude,harness,2026-09-14,"Workbooks: six crosswalk rows move, and one splits"
mehrlander/home,660,codex/wps-installation-map,codex,codex,local,2026-09-14,Map WPS work installation and align ISE Links paths
mehrlander/home,661,claude/intelligent-archimedes-kn2ezu,claude,claude,harness,2026-09-14,Attach the patch script to a running Excel instead of starting a second one
mehrlander/home,662,claude/intelligent-archimedes-kn2ezu,claude,claude,harness,2026-09-14,Put the survey report on the clipboard so it can be pasted back
mehrlander/home,663,claude/budget-drs-sidebar-tables-fyl605,claude,claude,harness,2026-09-14,Collapse the budget-drs sidebar's supporting tables into bands
mehrlander/home,664,claude/budget-drs-sidebar-tables-fyl605,claude,claude,harness,2026-09-14,"Search by view, and the ACFR tab rebuilt on its documents"
mehrlander/home,665,claude/excel-sheet-picker-se09lo,claude,claude,harness,2026-09-14,Record the Excel sheet picker session as a failure log
mehrlander/home,666,claude/wps-installation-tracker-i6s2du,claude,claude,harness,2026-09-14,"wps: a structured source for the work installation, and its ledger"
mehrlander/home,667,claude/budget-drs-pam-funding-1lf8qx,claude,claude,harness,2026-09-14,"submittal: the CORE PAM Fiscal Summary, every cell, funds at 3.7 percent"
mehrlander/home,668,codex/core-pam-draft-text-label,codex,codex,local,2026-09-14,Label CORE PAM prose as draft text
mehrlander/home,669,claude/budget-drs-pam-funding-1lf8qx,claude,claude,harness,2026-09-14,submittal: New-FiscalSummary.ps1 runs on F5 in the ISE and opens Word on the result
mehrlander/home,670,claude/budget-workbook-web-tools-utcuid,claude,claude,harness,2026-09-14,"The backup workbook lands by the other door: a reception declared here, read by Web Tools"
mehrlander/home,671,claude/zealous-darwin-bxcrum,claude,claude,harness,2026-09-14,"Route a delimited paste to the Load tab, anywhere in the app"
mehrlander/home,672,claude/upbeat-mayer-abazg3,claude,claude,harness,2026-09-14,"wps: snag, and a place to park what the work computer does not have yet"
mehrlander/home,673,claude/budget-drs-submittal-review-w2gsad,claude,claude,harness,2026-09-14,"submittal: the ABS tab carries what OFM requires, beside how ABS takes it"
mehrlander/home,674,claude/abs-material-entry-xrp8x4,claude,claude,harness,2026-09-14,"submittal: the fiscal detail each package files, as ABS import rows and a builder for its template"
mehrlander/home,675,claude/drs-subtab-height-consistency-lk8los,claude,claude,harness,2026-09-15,submittal: one rhythm for every subtab strip
mehrlander/home,676,claude/loving-cray-s4pvl6,claude,claude,harness,2026-09-15,budget-drs: the Data view's Load tab gets the Layout view
mehrlander/home,677,claude/drs-pension-funding-logic-22dgpn,claude,claude,harness,2026-09-15,"budget-drs: the September 14 gate is met, and the request as filed comes in"
mehrlander/home,678,claude/framed-view-paste-intake-lk8los,claude,claude,harness,2026-09-15,app: a framed view's pastes reach the workbench
mehrlander/home,679,claude/abs-material-entry-xrp8x4,claude,claude,harness,2026-09-15,"submittal: the entry in ABS on every package pane, held to the rows and read against the filing"
mehrlander/home,680,claude/abs-material-entry-xrp8x4,claude,claude,harness,2026-09-15,"submittal: Agency 740 as one form shown five ways, letters, modeled, carry-forward level, Fiscal Summary, by program"
mehrlander/home,681,codex/agent-refinery-report,codex,codex,local,2026-09-16,Document evergreen agent work design
mehrlander/home,682,claude/abs-material-entry-xrp8x4-tracker,claude,claude,harness,2026-09-16,tracker: file the post-filing reorganization of the submittal view
mehrlander/home,683,claude/drs-pension-funding-logic-22dgpn-residuals,claude,claude,harness,2026-09-16,"tracker: the intake session's residual findings, logged on the post-filing task"
