id,path,key,identity,membership,inherits,target,scope,span,fields,gate,area,title,gloss,renders_in
content,data/design/content.csv,locator,path,curated,,"an artifact, by locator (may refine below a file)","artifacts the registry curates; authoritative for what it covers, undeclared is a normal state",hub,governed,none,files,Content classification,"What each artifact is epistemically: supplied source material, mechanical output, or authored analysis, and which corpora it belongs to.",lib/alpineComponents/branch-brief.js;lib/kits/content-registry.js;pages/entities.html
docs,docs/docs.csv,path,path,computed,,a file under docs/,"every .md, .json and .csv file under docs/, the three extensions tools/test/docs-registry.test.mjs walks; docs/examples/, docs/prototypes/ and docs/favicons/ hold four other files, out of scope and deliberately so",hub,governed,tools/test/docs-registry.test.mjs,files,Documentation inventory,"Every document under docs/, what it is about, whether it is kept true, and who can reach it.",lib/alpineComponents/fab.js;lib/alpineComponents/map.js
harness,docs/harness.csv,path,path,computed,,a harness code file,"code files under tools/ and scripts/, except tools/test/, which the tests registry owns",hub,governed,tools/test/derived-artifacts.test.mjs,files,Harness inventory,"Every code file under tools/ and scripts/, what it is for, how it is invoked, and whether prose names it or a test exercises it.",lib/alpineComponents/fab.js;lib/alpineComponents/map.js
kits,docs/kits.csv,path,path,computed,,a kit,"every .js file directly under lib/kits/, the logic shelf docs/code-layers.md admits by attachment alone; demos and subfolders are pages, owned by the pages registry",hub,governed,tools/test/derived-artifacts.test.mjs,files,Kit shelf,"Every logic module on the kit shelf: its namespace, the sentence its own header opens with, whether every page pays for it at boot, whether a demo exists, and how many files load it.",lib/alpineComponents/map.js
manifest-fields,docs/manifest-fields.csv,key,,computed,,a .web-tools.json manifest key,"every key in use across the estate's repo manifests, INCLUDING the members of an array or object key, addressed pages[].path or stage.files. Those were nested inside their parent rows until 2026-08-16, so the registry counted 20 while its scope claimed 46",estate,governed,tools/test/manifest-registry.test.mjs,names,Manifest field vocabulary,"Every key a repo's .web-tools.json may carry, what it means, which tool reads it, and whether a member is required",lib/alpineComponents/config.js
owners,docs/owners.csv,subject,,curated,,"a repeated statement, or a scope for a family rule","statements the hub's coordination layer repeats, across docs/ and the skills. Not the content documents, whose one-owner question is the docs registry's",hub,governed,tools/test/owners-registry.test.mjs,names,Statement ownership,"For a statement the coordination layer repeats, which carrier is authoritative and how every other mention relates to it.",lib/alpineComponents/map.js
pages,pages/pages.csv,href,path:pages/,curated,,a page,"every .html page under pages/ except the gallery page itself, one row each; the group the page sits in rides on the row as two columns rather than nesting it",hub,governed,tools/test/derived-artifacts.test.mjs,files,Page gallery,"Every HTML page under pages/, grouped, with the title and thumbnail the gallery and picker show.",app/index.html;lib/alpineComponents/fab.js;lib/alpineComponents/tools.js
portable,docs/portable.csv,path,path,curated,harness,a shipped file,"files curated to travel to other repos; an authored selection crosswalk over the registries that own each target, so intrinsic description is inherited rather than restated",hub,governed,tools/test/portable-manifest.test.mjs,files,To-go set,"The files that travel to other repos, and how a consumer takes each one.",lib/alpineComponents/fab.js;lib/alpineComponents/map.js
routes-modes,docs/routes-modes.csv,param,,curated,,a delivery mode toss-render accepts,"the ways toss-render.html is handed a payload or a reference, and the trust posture each buys",hub,governed,tools/test/routes-manifest.test.mjs,names,Delivery modes,"How a tossed payload travels, and the trust and sandbox posture each mode carries.",lib/alpineComponents/map.js
routes-routes,docs/routes-routes.csv,key,,curated,,a toss route,the content types that map to a renderer page; owner of toss-render.html's inlined TOSS_ROUTES literal,hub,governed,tools/test/routes-manifest.test.mjs,names,Renderer dispatch table,"Every route toss-render accepts, what each one addresses, and which viewer it opens.",lib/alpineComponents/map.js
