path,role,layer,lines,invocation,emits,named,tested
scripts/blank-icons.py,"report a Phosphor class naming an icon the installed font does not carry. The class resolves to a :before rule keyed by name, so a name with no rule renders a zero-width blank: no console error, no fallback glyph, nothing to debug but the state around it. Names the two mistakes apart, weight-as-a-suffix (ph-play-fill, mechanical, the fix is proven) from a name borrowed off another icon family (ph-git-compare, a guess at best). Reads the valid set off the installed stylesheet rather than a committed list, so it cannot be wrong about the font. --check gates it",scripts,174,npm:icon-scan,no,yes,yes
scripts/bound-boolean-attrs.py,"report an Alpine boolean attribute (:disabled, :checked, :readonly) bound to an expression that can be undefined. x-bind coerces an undefined result to '' for any dotted expression, and bind() removes an attribute only for null/undefined/false, so '' SETS it: a bare property read on a missing key disables the control. Two shapes are flagged and nothing else: a bare accessor chain, and the last operand of a top-level ||/&& chain, since those operators hand back an operand rather than a boolean (dictate.html bound :disabled to !token or saving, which is the empty string with a token in hand, and both its writing destinations were dead). Negation, comparison and a ternary answer for their own type and are left alone, which is the half a looser scan gets wrong. --check gates it",scripts,237,npm:bool-attr-scan,no,yes,yes
scripts/build-tree.py,render a repository file tree as a linked markdown table for chat,scripts,252,argv,no,yes,no
scripts/check-branch-status.mjs,the stated agreement check for the branches view against home's unmerged-branches.sh,scripts,145,argv,no,yes,no
scripts/code-shape.py,"per-file observable properties of lib/: what a file attaches to, boot, hub, DOM, Alpine; the instrument behind docs/code-layers.md and the code-layers gate",scripts,382,npm:code-shape,yes,yes,yes
scripts/dead-links.py,"report markdown links that no longer resolve, in three classes (internal, cross-repo, github)",scripts,253,argv,no,yes,yes
scripts/dead-opacity.py,"report a daisyUI theme colour carrying an opacity step that generates no CSS rule. The ramp daisyUI ships is 10..90 by tens, so every other step, both ends, and the bracket form fall back: a background to transparent and TEXT to full strength, which is the wrong direction and errors nowhere. Stock palette colours take any step and are never reported, which is the half a looser scan gets wrong. --check gates it",scripts,152,npm:opacity-scan,no,yes,yes
scripts/declared-paths.py,check every page a .web-tools.json declares still exists; runs in consumer repos' verify suites,scripts,137,argv,no,yes,no
scripts/doc-growth.py,"weekly size-and-churn series for a repo's markdown, as one JSON payload: every file's length in words at each sample plus the commit churn around it, for pages/doc-growth.html. Samples trees rather than diffing, and reads blob contents through one cat-file batch fed from a thread",scripts,176,npm:doc-growth,yes,yes,no
scripts/doc-placement.py,"per-repo counts of the four documentation slots CONSTELLATION.md names, plus the residual listed by directory with what else sits there; takes repo paths, so one run reads an estate",scripts,104,npm:doc-placement,no,yes,no
scripts/duplicated-claims.py,"report file pairs sharing near-duplicated prose, the quiet failure where a claim is restated and the copies age apart (advisory; ported from home). The same pass builds a weighted graph of those pairs, which --emit writes to docs/themes.json for the Map view's Themes tab: a cluster of that graph is a theme, and which clusters exist depends on the weight threshold, so it emits every edge and the reader carries the dial. Each pair is also asked whether its shared text STATES A RULE, the duplication worth reviewing first: two files repeating a description can only go stale, while two files stating a rule can be obeyed differently and both are binding while they disagree",scripts,239,npm:claims-scan,no,no,yes
scripts/embedded-prose.py,"count the prose inside .js, .mjs, .html and .py, split into commentary, text tables, and inline reader-facing text; --check gates a comment-length budget",scripts,759,argv,no,yes,no
scripts/mcp-link-safe.py,"report markdown links the GitHub MCP write path would defang: a URL of 150 characters or more inside a markdown link is stored wrapped in backticks and renders dead, 149 or fewer survives, and the label never counts. Measures a slash-joined pair as one fused span, since )/[ does not end the URL token. --check gates; --unescape-entities is for a body read back through the MCP",scripts,209,argv,no,yes,yes
scripts/ocr-pdf.py,"OCR a scanned PDF into text, and say how much to trust the result",scripts,187,argv,no,yes,no
scripts/page-strips.py,"render a PDF page as overlapping horizontal strips a vision model can read, since the binding constraint is the display cap rather than scan resolution",scripts,97,argv,no,yes,no
