path,repo,oracle,scope,data_kinds,blocks,stop_sites,resists,confidence,construction,objects,smells,misses,expert_reading,oracle_notes,resists_why,shard
tools/test/activity-watermark-gate.test.mjs,web-tools,specified,contract,[],ci,10,False,high,"{""fixture"": ""real files on disk"", ""doubles"": [""stub""], ""verification"": ""both""}","{""a"": ""app/index.html's inline `quiet(repo)` gate and `crawlOne` loop, extracted as a source-text slice"", ""b"": ""hand-written regex patterns encoding each required gate clause (both watermark halves, `if (force) return false`, no-stored-entry/no-mark checks, the null-vs-empty distinction, and stamp-placed-before-catch ordering), plus GH.prototype.prWatermark's live output against a stubbed reader compared to a hand-written expected object""}","[""fragile-fixture""]",the stamp-before-catch ordering check compares string indices of two literal substrings inside a sliced region; wrapping the real stamp in an unrelated nested try/catch (or duplicating the literal text `nextMarks[repo] = { pushedAt: pushed` elsewhere before the real catch) would satisfy `stamp < caught` while the actual runtime control flow no longer sits inside the try.,"This is a source-shape contract test: it slices app/index.html's inline `quiet()`/`crawlOne` code as a string and regex-matches each clause the watermark gate must contain (both push and PR halves, the force bypass, the null-vs-empty read distinction, stamp-before-catch ordering), plus three real unit calls into GH.prototype.prWatermark against a stubbed reader, since the gate itself is never executed end-to-end without live GitHub.",,,hub-01
tools/test/alpine-teardown.mjs,web-tools,implicit,integration,[],suite-only,2,False,medium,"{""fixture"": ""subprocess"", ""doubles"": [""fake""], ""verification"": ""behavior""}","{""a"": ""the guarded builds of lib/kits/*.js and lib/alpineComponents/{file-review,branch-brief}.js, using `if (this.$el.isConnected) Alpine.initTree(this.$el)`"", ""b"": ""the same six files with that guard string-replaced to a bare `Alpine.initTree(this.$el)` call, run through the identical collapse-mid-mount timing sequence in a real Chromium page""}","[""fragile-fixture""]","a guard that checks `this.$el.isConnected` on the wrong node (e.g. a stored ancestor reference instead of the freshly-injected element itself) would still make the guarded arm throw nothing in this exact branch-brief scenario, since the test only distinguishes present-guard-string vs absent-guard-string on these six files, not whether the guard targets the correct element.","A Playwright regression test that launches a real Chromium page serving lib/alpineComponents/branch-brief.js and friends, collapses a branch-brief group between mount and its deferred `Alpine.initTree` tick to reproduce a detached-tree race, and asserts the `isConnected`-guarded build throws no Alpine expression errors while the same files with that guard string-replaced away do throw: a kill test proving the guard is load-bearing rather than dead code.","Both arms assert only the absence/presence of thrown or logged Alpine errors (no-throw / throws), but the second arm deliberately patches the guard out of source first, turning the pair into a mutation-style teeth check that proves the no-throw result isn't vacuous.",,hub-01
tools/test/annotate-dom-reading.test.mjs,web-tools,specified,integration,[],ci,18,False,high,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": [""none""], ""verification"": ""state""}","{""a"": ""the rendered DOM-reading pane (Annotate._state.domBody / .domPane) produced by lib/kits/annotate.js for a given filed note, staged aim, or held crumb, against a fixed 3-element HTML fixture"", ""b"": ""hand-written expected substrings and dataset values describing the resolved subject (tag+id, tag path, ancestor crumbs, uniqueness verdict, fallback prose) for each of those inputs""}","[""none""]","the ancestor-uniqueness verdict is only exercised against `#li1`, a selector guaranteed unique by id; a regression that always renders `data-peek-verdict=""unique""` regardless of whether the computed selector actually matches more than one element in the document would not be caught, since no fixture in this file has a non-unique matching selector.","Boots a real jsdom window loading vanilla-bundle.js, the optional lib/kits/peek.js, and lib/kits/annotate.js, then asserts that the drawn DOM-reading pane (Annotate._state.domBody) names the correct subject element through the fallback chain (selected note, then staged/held aim, then most-recent note), and renders its selector, tag path, depth, sibling position, and ancestor crumb trail as expected substrings of the flattened pane text.",,,hub-01
tools/test/annotate-section.test.mjs,web-tools,mixed,integration,[],ci,14,False,medium,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": [""stub""], ""verification"": ""state""}","{""a"": ""the target object built by Annotate.noteSection()/_sectionEls() from a `## First` heading in a fixed markdown document rendered through mdDoc.render (via lib/kits/md-doc.js and marked)"", ""b"": ""hand-written expected target shape: type 'section', title 'First', source 'docs/APP.md \u00a7 First (lines 5-11)', lines {start:5,end:11}, and an excerpt beginning '## First' that includes the nested '### Under first' subsection""}","[""general-fixture""]",_sectionEls()'s next-peer-heading boundary is only tested against a document whose headings are separated by exactly one blank line; a bug that miscounts the line span when a section is preceded by multiple consecutive blank lines (off-by-one on `lines.start`/`lines.end`) would not be caught by this fixture.,"Renders a fixed four-heading markdown document through mdDoc.render and exercises Annotate's section-targeting mode end to end: that _sectionEls() captures a heading's run down to the next equal-or-higher-rank sibling, that noteSection() builds a target carrying the source markdown, title, and 5-11 line span rather than rendered text, that toMarkdown() serializes it as a quoted source excerpt, and that the DOM-reading pane and its stubbed-layout structure overlay describe a section in markdown rank/line/word/slug terms rather than CSS selector terms.","Most assertions are specified (hand-written expected section titles, line spans, markdown excerpts, and pane substrings); the structure-overlay test instead checks a consistency property between two computed artifacts: rule left-offsets must increase in the same order as `box.__srcDoc.sections` depths: rather than comparing to a literal expected layout.",,hub-01
tools/test/annotate.test.mjs,web-tools,mixed,integration,[],ci,62,False,medium,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": [""fake"", ""spy""], ""verification"": ""both""}","{""a"": ""lib/kits/annotate.js's real implementation (quote anchoring/_quoteFor/_resolveQuote, the selection card, composer, dictate wiring, saveJot) executed against a jsdom document via bootstrap.mjs's makeWindow/loadKit"", ""b"": ""hand-written expected outcomes per scenario: DOM attributes and textContent, A.items/A.selected state, annotate:change event counts, and recorded GH.save call args from a stubbed GH class""}","[""fragile-fixture""]","Because jsdom supplies no real layout, a regression in the actual long-press-to-word hit testing (e.g. hitsText or getBoundingClientRect miscalculating which word a point lands on) would not be caught: every gesture test here stubs hitsText or lands on the blank canvas rather than exercising real text-hit geometry, which the file's own header names as out of scope.","A large jsdom-plus-real-Alpine-boot suite that loads the actual lib/kits/annotate.js into a hand-built document and drives its quote-anchoring, selection-card, composer, dictate-wiring and saveJot logic through synthetic pointer/keyboard events and a stubbed GH class, pinning behavior with hand-written expected DOM and state values rather than real browser layout or network.","The bulk of the 62 tests are hand-written expected outcomes (DOM attributes/text, A.items state, event-announcement counts) checked against lib/kits/annotate.js's real implementation executed in a jsdom document; one test records call arguments on a stubbed GH class and asserts on those; the final test asserts a regex pattern directly against annotate.js's source text rather than against runtime behavior.",,hub-02
tools/test/app-routes.test.mjs,web-tools,mixed,contract,"[""set-equality"", ""referential"", ""not-null"", ""existence""]",ci,27,False,medium,"{""fixture"": ""real files on disk"", ""doubles"": [""none""], ""verification"": ""state""}","{""a"": ""docs/app-routes.csv (+vocabularies.csv) merged into a route manifest via R.manifest, checked against app/index.html's live-parsed VIEWS/estateNav blocks and scripts/showing.py's URL-building regex"", ""b"": ""lib/kits/route-activity.js's manifest/rank/stops/routesTouched/viewUrl/bundleStale functions, exercised on both the real manifest and a hand-built FIXTURE with literal expected results""}","[""hard-coded-data""]","Would not catch R.nearNote changing its join separator between multiple shared filenames (e.g. joining with '; ' instead of ', ') since the assertion only counts occurrences of 'wide.js' in the note string and never checks what separates multiple shared files when more than one is present.","A contract-and-unit suite for the show-repo app's routing: it derives the true ?view= key set and nav-stop ownership by parsing app/index.html's VIEWS table and estateNav live and checks that against docs/app-routes.csv's authored manifest, separately unit-tests route-activity.js's activity-ranking fold against a hand-built FIXTURE, and checks that the app's own ?use=&view= URL format agrees with scripts/showing.py's.","The first five tests derive the true set of ?view= keys and nav-stop ownership by parsing app/index.html's VIEWS table and estateNav live and check that against docs/app-routes.csv's authored manifest (same derived-vs-registry shape as tests-registry.test.mjs); most of the remaining ~20 tests are specified-oracle unit tests of lib/kits/route-activity.js's pure fold functions (rank, stops, routesTouched, viewUrl, bundleStale, nearNote) against a hand-built FIXTURE with literal expected outputs, including two hand-pinned counts (5, 14); one test checks the app's URL format for consistency against scripts/showing.py's regex.",,hub-02
tools/test/app-typeahead.mjs,web-tools,specified,e2e,[],suite-only,1,False,high,"{""fixture"": ""subprocess"", ""doubles"": [""stub""], ""verification"": ""state""}","{""a"": ""app/index.html's wireAppTypeahead keydown router as executed by real Chromium (via Playwright) over a locally-served copy of the app"", ""b"": ""hand-written expected focus target and box value per keystroke scenario (e.g. pressing 'k' should focus #quick-find-box with value 'k'; pressing 'k' with the sidebar closed should open it first)""}","[""eager-test""]","Would not catch a broken x-model binding on the finder box: since assertions read box.value directly off the DOM input rather than the Alpine data property the filtering logic reads, a typo'd x-model attribute name could leave the visible input correct while the actual search state never updates.","A Playwright end-to-end script that boots app/index.html in real Chromium (CDN requests stubbed to local files via resolveCdn) and exercises wireAppTypeahead's keydown routing across sidebar-closed, view-box, hidden-box and deck-overlay states, asserting real focus movement and box value against hand-written expected outcomes per scenario, since jsdom cannot run a keydown's default action or answer layout-visibility questions.",,,hub-02
tools/test/app-typeahead.test.mjs,web-tools,mixed,unit,[],ci,11,False,high,"{""fixture"": ""fresh per test"", ""doubles"": [""fake""], ""verification"": ""both""}","{""a"": ""app/index.html's wireAppTypeahead router, executed via shell.mjs's makeShell against a hand-built fake document and fakeBox()"", ""b"": ""hand-written expected outcomes per keystroke scenario: which element ends up focused, box.value, and call counts like shell.opened/box.inputs""}","[""hard-coded-data""]","Would not catch a real CSS-visibility regression (e.g. the router switching from getClientRects().length to offsetParent for the data-find-box check) since fakeBox's `rects` field is a hand-set counter standing in for layout, not real CSS: the companion browser script (app-typeahead.mjs) is what that class of bug is measured in, not this file.","A jsdom-free unit suite that executes app/index.html's actual inline wireAppTypeahead script (via shell.mjs/makeShell) against a hand-built fake document and box to pin routing decisions: which key wins, which box gets focus, when the sidebar must open first: plus two file-scanning checks tying quick-find.js's id to shell.mjs's lookup and confirming only the five DECLARED files carry data-find-box.","Eight of eleven tests specify hand-written expected focus target, box value, and call counts (shell.opened, box.inputs) for wireAppTypeahead executed against a fake DOM/shell harness; the remaining three are consistency checks: quick-find.js's declared id against shell.mjs's lookup (and that quick-find registers no competing keydown listener), and a hand-maintained DECLARED registry against every data-find-box actually present under app/ and lib/.",,hub-02
tools/test/app-view-address.test.mjs,web-tools,mixed,contract,[],ci,14,False,high,"{""fixture"": ""real files on disk"", ""doubles"": ""none"", ""verification"": ""both""}","{""a"": ""app/index.html's VIEWS 'app' route, deepLinkParams/appViewFromUrl/goAppView source text"", ""b"": ""hand-written expected regex patterns/literals encoding the intended ?app=/?on=/#hash contract""}","[""mystery-guest"", ""hard-coded-data""]","subjectParamsFor's search-building (`u.on ? '?on='+encodeURIComponent(u.on) : ''`) is only checked by regex against the source; a change that encodes u.on twice, or drops the leading '?', would still match the loose `search: u && u.on ? ...` regex as long as the surrounding tokens survive, since no test actually calls subjectParamsFor and inspects the produced string.","A source-assertion suite pinning the ?app=/?on=/#hash contract in app/index.html and lib/kits/url-params.js by regex-matching literal code fragments, with one live test of deepLinkParams via a stub shell and one cross-file consistency check against stage.js.","mostly specified (hand-written regex/literal patterns expected in app/index.html and lib/kits/url-params.js source), plus a behavioral slice via makeShell().deepLinkParams, plus one consistency check between the shell's SHELL_FRAGMENT_KEYS and what lib/alpineComponents/stage.js actually reads.",,hub-03
tools/test/audit-standoff.test.mjs,web-tools,mixed,data-quality,"[""freshness"", ""coverage"", ""accepted-values"", ""not-null"", ""byte-reproduction"", ""reconciliation""]",ci,11,False,medium,"{""fixture"": ""real files on disk"", ""doubles"": ""none"", ""verification"": ""state""}","{""a"": ""skills/state-the-rule/runs/2026-08-29-conventions/standoff.json (units, vocabulary, verdicts, target.sha256, self)"", ""b"": ""recomputed sha256 of the target document, labels.tsv seed rows, and pages/audit-render.html's embedded window.__audit.standoff payload""}","[""hard-coded-data"", ""mystery-guest""]","a systematic off-by-one shift that swaps which span each uid points at (e.g. unit N's label attached to unit N+1's text) would still pass every check here, since the tests verify that spans tile the document without gaps and that labels/verdicts come from the declared vocabulary, but never verify that a given label is the correct one for the text at its own span.","A freshness-and-consistency gate over one dated standoff annotation run: hash-checks the annotated document, checks span coverage and vocabulary/verdict membership, diffs against labels.tsv and the page's embedded copy, and drives audit-payload.py in a temp dir to confirm its rebuild-refusal guard fires on unpatchable insertions.","freshness/consistency checks between standoff.json, labels.tsv, and the embedded payload in pages/audit-render.html (recomputed sha256, byte-for-byte JSON serialization, drift diffing); plus a subprocess integration test that rebuilds a fresh fixture with tools/build/audit-payload.py and asserts specific warning text appears.",,hub-03
