id,title,status,project,depends-on,opened,closed,session,size,awaiting,blockedBy,file,href,lastActivity,logEntries
add-task-tracker-skill-iwr1ay,Add a task-tracker skill,done,,,2026-07-14,2026-07-15,claude/agent-file-retrieval-skill-tv4can,,,,add-task-tracker-skill-iwr1ay.md,tasks/add-task-tracker-skill-iwr1ay.md,2026-07-18,3
agent-file-retrieval-skill-c5u2jy,Build an agent-assisted file-retrieval skill,done,search-skill,,2026-07-14,2026-07-15,claude/agent-file-retrieval-skill-tv4can,,,,agent-file-retrieval-skill-c5u2jy.md,tasks/agent-file-retrieval-skill-c5u2jy.md,2026-07-18,3
app-view-address-and-icon-tc1a91,Give an app view one address key and an identity of its own,done,,,2026-08-20,2026-08-28,claude/budget-drs-web-tools-tcpcq6,M,,,app-view-address-and-icon-tc1a91.md,tasks/app-view-address-and-icon-tc1a91.md,2026-09-04,4
app-view-fab-subject-1evnwv,The FAB drawer should let you pick which layer it describes,done,,,2026-08-20,2026-08-21,claude/toss-url-shorthand-dz0xpt,M,,,app-view-fab-subject-1evnwv.md,tasks/app-view-fab-subject-1evnwv.md,2026-08-21,5
app-views-estate-level-btp6m4,App views - designate a page as an estate-level view,done,,,2026-07-18,2026-07-19,claude/web-tools-app-views-m3pkyo,,,,app-views-estate-level-btp6m4.md,tasks/app-views-estate-level-btp6m4.md,2026-07-19,5
audit-repaired-units-for-splitting-e6jfgs,Audit the three repaired units in the conventions run for splitting,done,,,2026-09-02,2026-09-03,claude/standoff-atomicity-boundaries-k3n8p2,XS,,,audit-repaired-units-for-splitting-e6jfgs.md,tasks/audit-repaired-units-for-splitting-e6jfgs.md,2026-09-03,2
automate-merge-guide-from-pr-bodies-uaect4,Automate the merge guide from PR bodies,done,repo,,2026-07-10,2026-07-14,claude/task-tracker-discussion-wg27xv,,,,automate-merge-guide-from-pr-bodies-uaect4.md,tasks/automate-merge-guide-from-pr-bodies-uaect4.md,2026-08-05,5
backfill-guide-regions-merge-guide-bkk4xv,Backfill guide regions into old PR bodies and full-regenerate the merge guide,done,repo,automate-merge-guide-from-pr-bodies-uaect4,2026-07-14,2026-08-05,claude/merge-guide-web-tools-gjhw8l,,,,backfill-guide-regions-merge-guide-bkk4xv.md,tasks/backfill-guide-regions-merge-guide-bkk4xv.md,2026-08-05,3
branch-authored-layer-surface-0j0zik,Converge the branch page's authored layer on the branch-review surface,done,web-tools,,2026-07-26,2026-08-06,claude/show-repo-progress-b8l63x,,,,branch-authored-layer-surface-0j0zik.md,tasks/branch-authored-layer-surface-0j0zik.md,2026-08-07,3
branch-page-as-navigation-adi9ha,"Make the branch page a navigation target, swipeable from the lists",done,show-repo,,2026-07-26,2026-07-31,claude/project-pages-docs-udzi51,,,,branch-page-as-navigation-adi9ha.md,tasks/branch-page-as-navigation-adi9ha.md,2026-07-31,3
branch-review-lifespan-0g4znz,Show the branch lifespan in the per-repo branch review too,done,show-repo,,2026-07-26,2026-07-31,claude/project-pages-docs-udzi51,,,,branch-review-lifespan-0g4znz.md,tasks/branch-review-lifespan-0g4znz.md,2026-07-31,2
branch-review-view-show-repo-rwwmrj,Branch-review view in show-repo,done,show-repo,,2026-07-16,2026-07-17,claude/web-tools-branch-tracking-n1zawm,,,,branch-review-view-show-repo-rwwmrj.md,tasks/branch-review-view-show-repo-rwwmrj.md,2026-08-05,5
brief-from-the-pages-gallery-7d4031,Reach the take-away menu from show-repo's Pages gallery,backlog,,,2026-07-26,,,S,,,brief-from-the-pages-gallery-7d4031.md,tasks/brief-from-the-pages-gallery-7d4031.md,2026-08-14,2
