uid	label	verdict
skill-001	WHAT	KEEP
skill-002	WHAT	KEEP
skill-003	WHAT	KEEP
skill-004	WHAT	KEEP
skill-005	HOW	KEEP
skill-006	META	KEEP
skill-007	META	KEEP
skill-008	WHY	REWRITE
skill-009	WHY	DROP
skill-010	WHY	KEEP
skill-011	WHAT	KEEP
skill-012	META	KEEP
skill-013	WHAT	REWRITE
skill-014	NAV	KEEP
skill-015	HOW	DROP
skill-016	META	KEEP
skill-017	HOW	KEEP
skill-018	HOW	KEEP
skill-019	HOW	KEEP
skill-020	HOW	KEEP
skill-021	WHAT	KEEP
skill-022	WHAT	KEEP
skill-023	META	REWRITE
skill-024	WHAT	KEEP
skill-025	WHAT	KEEP
skill-026	WHY	DROP
skill-027	HOW	KEEP
skill-028	WHY	KEEP
skill-029	WHY	DROP
skill-030	WHAT	KEEP
skill-031	WHY	KEEP
skill-032	WHY	DROP
skill-033	WHAT	KEEP
skill-034	HOW	KEEP
skill-035	WHY	KEEP
skill-036	WHAT	KEEP
skill-037	WHAT	KEEP
skill-038	WHAT	KEEP
skill-039	META	KEEP
skill-040	WHAT	KEEP
skill-041	WHY	KEEP
skill-042	WHAT	KEEP
skill-043	WHY	REWRITE
skill-044	WHAT	KEEP
