key,lead,title,glyph,use,form,boundary
reference-links,Reference is a link,Reference is a link,,Explicit [caption](url) for anything tappable; a proposal links its subject before the reasoning.,[caption](url),Bare paths drop on mobile and in copies; only a renderable page gets a render link (the honesty gate).
show-pixels,Show pixels,Show pixels,,"For visual changes, send an inspected headless-browser screenshot inline.",,A viewport shot cannot show horizontal overflow; measure scrollWidth (SNAGS).
hand-over,Hand over the artifact,Hand over the artifact,,"Send the file the user would open or run with SendUserFile, not just a description or a path.",,"proactive when unprompted, normal when replying; images preview inline, other types download."
lead-live-view,Lead with the live view,Lead with the live view,⭐,"A README for something renderable opens with a prominent ⭐ link to the hosted version, before prose.",,
toss,Toss a live view 🥏,Toss a live view,🥏,Render a page with no hosted URL through the shared toss renderer rather than handing over source alone.,toss-render.html#gz=<base64url> | #gh=owner/repo[@ref]:path,"#gz= travels to any reader; #gh= is token- and allowlist-gated, and the token is browser-local."
artifact,Publish an artifact 📦,Publish an artifact,📦,"Bake a page self-contained and publish it as a stable private claude.ai snapshot; auth rides Claude sign-in, no token.",,"CSP blocks external requests; private to the author on Pro/Max, so other readers get a 🥏 #gz= toss."
stage,Stage a fileset 🗂️,Stage a fileset,🗂️,"Move a fileset across repos for viewing, bundle download, copying, or review diff.","app/#stage=owner/repo[@ref]:p1,p2;owner2/repo2:p3 | app/#gz=<base64url(gzip)> for pasted text","The ref half is token-gated like #gh=; pasted text rides #gz= in the link itself (24 KB budget) and needs no token, which with &mode=diff is the token-less review handoff. An inline handoff, not a surfacing-caption row."
envelope,Carry content in an envelope,Carry content in an envelope,,"A curated, annotated set of files, chats, diffs, or hits travels and renders as one unit (stage, surface, chat-results, data view).",,Prefer an envelope to an ad-hoc format; contracts and schemas in docs/envelopes/.
data-toss,Toss data 📊,Toss data,📊,"Hand over a CSV, JSON array, or log through the data route, opening in the multi-mode viewer.",toss-render.html#data=owner/repo[@ref]:path,Same token gate as #gh=; #gz= on the page itself for a tokenless reader.
clipboard,Copy to the clipboard 📋,Copy to the clipboard,📋,Link whose payoff is content on the reader's clipboard; Shortcuts actions are one case.,shortcuts://run-shortcut?name=<shortcut>&input=text&text=<payload>,"Device-made content only: a pasteboard type you cannot produce, or a value computed at tap time. Otherwise hand over a file. Paste the link as emitted; an edited payload keeps its actions and loses its label."
run-shortcut,Run a shortcut 📲,Run a shortcut,📲,"Same link shape, payoff anything but the clipboard.",,
branch-anchor,Branch anchor,Branch anchor,,The first file-modifying reply leads with Working branch: [branch-name](url).,Working branch: [name](tree url),
branch-page,Open the branch 🌿,Open the branch,🌿,"Link the live branch page beside the guide PR; its facts are read from the API on every load, so the link is current whenever opened. &pane= opens a pane and &file= opens the file deck on one path.",pages/branch.html#gh=owner/repo@branch[&base=ref][&pane=files][&file=path],"Token-gated with the in-app-browser caveat; 🌿 is where you read the branch, 🧭 where you merge it."
guide-pointer,Guide pointer 🧭,Guide pointer,🧭,Mark the branch's guide PR; close a reply with 🧭 [PR #N](url) (body synced | body not synced).,,"The parenthetical claims this reply rewrote the guide region, never carried forward."
task-marker,Task marker 🎫,Task marker,🎫,Surface a tracker task as 🎫 [title](task blob url); the filename id never shows.,,
caption,Surfacing caption,Surfacing caption,,"End a file-modifying turn with the 🌿 branch-page line and the turn commit, not a file list; the page enumerates.",🌿 [branch](pages/branch.html#gh=owner/repo@branch) · N files · [this turn](commit/sha),"The enumerated [new]/[main]/[diff] list survives only for a tokenless reader (/caption files); the 🌿 line replaces the list, never the prose."
review,Review the diff 🔍,Review the diff,🔍,"Add one 🔍 line to a caption whose changed files are worth reading rather than listing; the review page renders each file's diff against the merge base, its patch text and its raw content.","pages/review.html#gh=owner/repo@branch&base=main, or @branch:path&base=main for one file","Supplements the caption and never replaces it, so the plain GitHub links stay the tokenless fallback; token-gated like every #gh=; shares its per-file dossier component with the branch page, so 🌿 reads the branch and 🔍 reads the diff."
close-order,Close in one order,Close in one order,,"Every reply ends the same way, parts skipped where they do not apply: the 🌿 caption line, the render line, 🧭, then exactly one closing state, last.",🌿 line -> render line -> 🧭 -> closing state,"The order never varies and nothing follows the state; a reply that changed no files still closes with one, but a wake that changed nothing says nothing at all: no state, no restated list."
session-diff,Session diff,Session diff,,Summarize substantial work with a compare link.,Session diff: [main...branch](compare url),
closing-state,Closing state,Closing state,🟢,"Every reply that finishes work, proposes work, or leaves something open ends with exactly one of eleven states (🟢 ready to continue, ❇️ ready to assess, 🟡 pending, 🆚 choice needed, ✴️ needs you, 🟠 attention, ⚪ clean exit, 🟣 merged, 🔴 closed, ⚫ done, 🔵 short answer), so the next move is cheap to recognize.",,"Exactly one state per reply; the colour says who acts, so a green state is the session's work and 🟢 never instructs the reader while orange needs the reader (🆚 to decide, ✴️ to do); go authorizes only what the 🟢 or ❇️ list names; uncertainty the session can investigate is ❇️ rather than 🆚 or ✴️, and a 🆚 needs two live options, since an assessment landing on one is ⚪ recommending it; every ✴️ ask ships the link that performs it, or says why none can exist; 🔵 puts the question itself in the bold lead; 🟣 and 🔴 mark the branch, not a task; attention debt gates green, so work that leaves the reader something to return to is ❇️ and names what it leaves; ⚪ is before the merge, 🟣 one merge, ⚫ after the last, and ⚫ is the only state about the session rather than the reply."
subscribe-pr,Subscribe the workstream PR 📬,Subscribe the workstream PR,📬,"Call subscribe_pr_activity on creating a workstream PR. Subscribe once, receive every event, act per event: a go: comment instructs (intent, never authority), everything else is incoming context and obliges nothing.",,
