path,namespace,gloss,lines,boot,demo,users,tested
lib/kits/annotate.js,Annotate,"notes pinned to pieces of a page: select text (or pick an element, or drag a rectangle), write a note, and carry the set out as markdown for a chat model, as…",4834,no,yes,12,yes
lib/kits/branch-brief.js,BranchBrief,"a branch as a subject, not a row.",377,no,no,7,yes
lib/kits/branch-status.js,BranchStatus,"Branch-scan math: the content-level landed/stranded signal, ported from home's tools/unmerged-branches.sh (the CLI reference instrument).",532,no,no,5,yes
lib/kits/brief.js,brief,"assemble a page into a review brief: one markdown document holding the page source plus the source of the modules the page itself loaded, sized for pasting…",238,no,no,3,yes
lib/kits/card.js,Card,the CARD of the house popup rule: the ✕ and the ways out.,153,no,yes,2,yes
lib/kits/chat-archive.js,chatArchive,"the chat archive as a venue of activity, read one month at a time.",268,no,no,1,yes
lib/kits/chat-render.js,chatRender,"chat transcript renderer: markdown in, readable conversation out, with fenced code blocks promoted to live artifacts.",1178,no,no,7,yes
lib/kits/claude-mark.js,claudeMark,"the Claude logomark, from one path.",62,yes,no,5,yes
lib/kits/closing-state.js,ClosingState,"the conventions' CLOSING STATE, as one vocabulary.",128,no,no,4,yes
lib/kits/cm6-merge.js,cm6Merge,framework-free CodeMirror 6 *diff* factory: read-only side-by-side and unified merge views over two versions of a text.,162,no,no,6,yes
lib/kits/cm6.js,cm6,framework-free CodeMirror 6 editor factory.,226,no,yes,18,yes
lib/kits/code-doc.js,codeDoc,"SOURCE CODE AS A DECLARED RENDER: the second kind, and the one that says what the contract is actually for.",92,no,no,1,yes
lib/kits/compression.js,compression,Brotli/Gzip/Acorn wrappers + bookmarklet packer.,365,no,yes,5,yes
lib/kits/console.js,consoleKit,console retention + filter + subscribe layer.,115,yes,no,7,yes
lib/kits/content-registry.js,ContentRegistry,"the epistemic content registry, read in the browser.",111,no,no,4,yes
lib/kits/crawl-runs.js,CrawlRuns,The `runs` ring: the few facts about a crawl that its output cannot show.,89,no,no,2,yes
lib/kits/csv.js,Csv,"CSV, small and shared.",54,no,no,6,yes
