key,address,label,stop,group,what,files,note,doc,tabs,alias,reads
shell,,Shell,,shell,"The shell is every route's file: it holds the router, the header, the sidebar, and the panes' outer markup, so a commit to it touches all of them and says nothing about which. The Routes tab therefore excludes it from attribution and reports it on its own row. A route whose `files` are empty has no code of its own AT ALL and renders from an inline component in the shell; that is a fact about the app worth reading, not a gap in this file.",app/index.html,,docs/show-repo.md,,,
landing,?repo=owner/name,Overview,Overview,repo,"A repo's front page: its README, with the repo's stats and a jump to the atlas.",,"Renders from overview(), defined inline in the shell, so it has no file of its own. It used to be a three-way choice (a declared landing page, else the pages gallery, else this); the README lost that choice whenever anything else was declared, so the other two became rows of their own.",,,,
pages,?view=pages,Pages,Pages,repo,"The pages gallery: web-tools' own catalog, or any repo's `pages` entries.",,"A standing view since 2026-08-14, wherever there is a catalog; it used to appear only when a custom landing had taken the front door from it. The same inline gallery() the landing used to use.",,,,
atlas,?view=atlas,Atlas,Atlas,repo,"The whole-repo treemap, rendered by a separate page the view frames.",lib/kits/treemap.js;pages/repo-atlas.html,,,,,
config,?view=config,Config,Config,repo,"The form over a repo's own .web-tools.json: membership, landing, pins, stage, checks.",lib/alpineComponents/config.js,,,,,
files,?view=files,Files,Files,repo,"A repo's tree beside the file it opens: the tap-through picker inline at the repo root, and the shared reader.",lib/alpineComponents/file-browser.js;lib/alpineComponents/path-picker.js;lib/alpineComponents/viewer.js,"`path` names the folder the tree opens on and `file` the file beside it; a bare `?file=` link opens here through openFile, as do pins, recents and the search bar's file hits. A project's Files tab is the same component based at the project folder.",docs/views/search.md,,,
project,?view=project&project=<path>,Project,Project,repo,"One workspace: Overview, Board, Pages and Docs, plus Code when an installation manifest is declared. Overview shows the landing page, installation evidence or README; Code provides pinned source, browser drafts, comparisons and reviewed publication to a new branch.",lib/alpineComponents/installation-view.js;lib/kits/installation.js;lib/alpineComponents/powershell-workspace.js;lib/kits/powershell-workspace.js;lib/kits/powershell-editor.js;lib/kits/powershell-language.js,"Overview uses the installation view when the workspace declares installation and has no landing page. Code is available to workspaces declaring installation, addressed by &tab=code; its selected file rides as &item=. The former &tab=installation address resolves to Overview. Board, Pages and Docs reuse shell components.",docs/views/project.md,overview;board;pages;docs;code,,
estate,?view=estate,Repos,Repos,estate,"The card per repo that opts in, grouped, with each repo's scope and adoption read.",lib/alpineComponents/estate.js;lib/kits/portable-align.js;lib/kits/repo-config-cache.js,,docs/views/estate.md,,,configs;activity
stage,?view=stage,Stage,Stage,estate,"The bench: the working fileset, its lenses, and the cross-repo transfer.",lib/alpineComponents/stage.js;lib/kits/text-diff.js,"Its one `tabs` value is not a tab: `&tab=errands` opens the errand panel in place, using the same sub-address key Project and Map use. The courier navigates here from our own origin when no errand is open on the page you are reading.",docs/stage.md,errands,surfaces,
branches,?view=branches,Branches,Activity,estate,"Every live branch across the estate in one list, freshest first, scoped by state: Open, Recent, Stranded, Landed, Abandoned. The cleanup pass over the estate's branches, and the swipe-deck's list.",lib/alpineComponents/branch-brief.js;lib/alpineComponents/estate.js;lib/kits/branch-brief.js;lib/kits/branch-status.js;lib/kits/repo-activity-cache.js,"A pane, then a lens of Sessions from 2026-08-19, a pane again from 2026-08-23, second in the Activity row after Sessions. The demotion read the flat list as a duplicate of what Sessions already nests; what it missed is that the branch scopes are a cleanup pass and a lens inside a session list is the wrong place to run one.",docs/views/branches.md,,,activity;sessions
