kind,command,path,title,role,use
skill,/portable:default,.claude/skills/default/SKILL.md,default,"loads the plugin-vendored working conventions, and the vendored guide-PR course when a PR is in play",plugin
skill,/portable:sessions,.claude/skills/sessions/SKILL.md,sessions,"attaches and clones the session-record store named by sessionsStore or SESSIONS_STORE_REPO when no checkout declares one, so a task-spawned session is recorded like a hand-started one",plugin
skill,/portable:load-skill,.claude/skills/load-skill/SKILL.md,load-skill,fetch any skill from the library on demand,plugin
skill,/portable:show-repo,.claude/skills/show-repo/SKILL.md,show-repo,browse any repo and move files across repos,plugin
skill,/portable:tree,.claude/skills/tree/SKILL.md,tree,"render a linked file tree of the repo, table-first for mobile",plugin
skill,/portable:in-flight,.claude/skills/in-flight/SKILL.md,in-flight,"check whether a branch, PR, or task is already working on something, and reconcile stale tracker claims",plugin
skill,/portable:tasks,.claude/skills/tasks/SKILL.md,tasks,"operate the cross-session project tracker, and the filing rules: the bar, the propose-first gate, no fragmenting",plugin
skill,/portable:repo-review,.claude/skills/repo-review/SKILL.md,repo-review,"read the repo's own state and report what stands out, at three depths (light, deep, sweep); probes, layers, lenses and destinations declared per repo",plugin
skill,/portable:sandbox-traps,.claude/skills/sandbox-traps/SKILL.md,sandbox-traps,"the web sandbox's enumerable failures, each impersonating a worse one: the test that tells them apart, and the rule",plugin
skill,/portable:content-registry,.claude/skills/content-registry/SKILL.md,content-registry,"the epistemic content registry: classify a repo's artifacts and their corpus membership in a curated content.csv; scaffold, verify, extract",plugin
skill,/portable:concept-index,.claude/skills/concept-index/SKILL.md,concept-index,"build a repo's declared vocabulary and check a piece of writing against it: unlinked file names, terms of art used as if already known",plugin
skill,/portable:drop-link,.claude/skills/drop-link/SKILL.md,drop-link,"mint a link that opens GitHub's new-file form on the working branch, so long content lands on the branch without riding through chat",plugin
skill,/portable:file-retrieval,.claude/skills/file-retrieval/SKILL.md,file-retrieval,"retrieve files from a configured corpus through a fixed-behavior tool: ranked snippet search and whole-document reads, one auditable command",plugin
skill,/portable:scour,.claude/skills/scour/SKILL.md,scour,"acquisition fan-out: send agents to gather source material that does not exist locally, and map who says what about a subject across the open web",plugin
skill,/portable:gold-set,.claude/skills/gold-set/SKILL.md,gold-set,"measurement fan-out: build an independently labeled sample that scores a classifier or extractor for correctness, blind readers plus an adversarial skeptic plus a scoring script, and decide from the scorecard whether the program should change",plugin
skill,/portable:apple-shortcuts-actions,.claude/skills/apple-shortcuts-actions/SKILL.md,apple-shortcuts-actions,"compose Apple Shortcuts actions and hand them over as a tappable paste-in link for the device clipboard",plugin
skill,/portable:tend,.claude/skills/tend/SKILL.md,tend,"cultivate the workspace: prune settled branches, close shipped tasks, harvest PR threads, and nominate snags, bringing the owner only the choices that need commitment",plugin
doc,,docs/SURFACING.md,Surfacing,"the canonical surfacing primitives; a byte-matched copy ships beside the plugin's default skill and is loaded with the writing rules",plugin
doc,,docs/QUALIFIED-WRITING.md,Qualified writing,"the canonical prose rules; a byte-matched copy ships beside the plugin's default skill and is loaded with the surfacing primitives",plugin
doc,,docs/venues.md,Venues,"the venue map: where work can run besides the session reading it, and the attended-versus-unattended split that decides where a job belongs",live
doc,,docs/TRACKER.md,Project tracker,opt-in cross-session tracker: one file per task plus a generated board,adopt
doc,,docs/CONSTELLATION.md,Constellation architecture,"the portable kernel of the what-goes-where doctrine: commit discipline, visibility forces repo boundaries, conventions pull from a public hub, the repo owns its own scope, documentation has four places. The theory behind show-repo's Map view",reference
doc,,docs/show-repo.md,show-repo,"the hosted shell, the stage, and the .web-tools.json manifest",on-demand
doc,,docs/artifacts.md,Artifacts,the bake-and-publish pipeline and the 📦 marker's place in the link-choice matrix,on-demand
doc,,docs/HTML-STYLE.md,HTML house style (the name),"the name the style guide is asked for, pointing at the rules. They live in the daisy-alpine skill, which arrives with the plugin and fires on page work whether or not anyone asks; this file exists so a search for ""style guide"" in any repo lands somewhere",on-demand
doc,,docs/headless-vendoring.md,Headless vendoring,build with CDN stacks and test them headless where the sandbox blocks their CDNs,on-demand
doc,,docs/markdown-in-chat.md,Markdown in chat,working visually with markdown in a chat client; tables over nested bullets,on-demand
doc,,docs/github/markdown.md,GitHub markdown,"what GitHub's renderer does with Mermaid, math, alerts, sparklines",on-demand
