registry,property,mode,deriver,required,form,exclusive,values,column_primitive,gloss
docs,subject,recorded,,none,column,yes,,value,"what the document is about, one line"
docs,status,recorded,,none,column,yes,living;record;measured,label,"whether the document is kept true, preserved as written, or derived from measurement"
docs,reach,computed,tools/build/docs-reach.mjs,value,column,yes,injected;project;skill;app;orphan,label,"who can get to the document: injected at session start, reachable from project instructions, a skill, the app, or nothing"
docs,words,computed,tools/build/docs-reach.mjs,value,column,yes,,value,"the document's size, and its share of the folder"
docs,maintenance,recorded,,counted,column,yes,,value,who keeps the document true; a bare row is counted by the registry rather than hidden
docs,formerly,recorded,,none,column,yes,,locator,"prior paths of the same document, semicolon-separated; a read of one is a read of this row, so a rename never shows as an unresolved read"
tests,kind,recorded,,value,column,yes,behavior;gate,label,"what the check claims: that code does the right thing, or that a committed file is still true. The vocabulary is closed and the gate holds rows to it"
tests,protects,recorded,,counted,column,yes,,value,the one thing that breaks if the test is deleted; blanks are counted
tests,assertions,computed,tools/build/tests-index.mjs,counted,column,yes,,value,"how many assertions the file makes. Blank, never zero, on the browser-driven checks that are not node:test files, because test() is not their unit; the blank is the honest reading and the count is the ledger figure"
tests,assertion_names,computed,tools/build/tests-index.mjs,counted,column,no,,value,"what each top-level test() call is named, in source order; the file's own account of its coverage, so protects need not restate it. A parameterized name is carried as its template text. Blank on the same browser-driven checks as its count, for the same reason: test() is not their unit"
tests,method,computed,tools/build/tests-index.mjs,value,column,yes,kit;alpine;spawn;read;pure,label,"how the check reaches its subject, strongest present wins"
tests,runner,computed,tools/build/tests-index.mjs,value,column,yes,,locator,"suite for a *.test.mjs file, else the npm script that runs it, else unrun"
tests,boot_smoke,computed,tools/build/tests-index.mjs,counted,column,no,,label,"which assertions only check a component mounts, as indices into assertion_names; the property is per assertion, so a file-level count is the length rather than the record. Blank on the same browser-driven checks, for the same reason"
harness,role,recorded,,counted,column,yes,,value,what the file is for; blanks are counted rather than hidden
harness,layer,computed,tools/build/tools-index.mjs,value,column,yes,scripts;tools;tools/build;tools/render;tools/render/scenarios;.githooks;.claude/hooks;.claude/skills/hooks;.github/workflows,label,"which folder the file sits in. The domain is closed and owned by harness.csv's own layers glossary block, the same arrangement as manifest-fields.consumer; docs/code-layers.md is the prose behind it"
harness,lines,computed,tools/build/tools-index.mjs,value,column,yes,,value,file length
harness,invocation,computed,tools/build/tools-index.mjs,value,column,yes,,value,"the route execution arrives on: pulled (npm:<script>, argv, imported, driver) or event-fired (git:<name>, session:SessionStart, hook:<event>, ci:<events>), with 'none found' the warning state"
harness,emits,computed,tools/build/tools-index.mjs,value,column,yes,yes;no,label,writes a file: a generator rather than a reader
harness,named,computed,tools/build/tools-index.mjs,value,column,yes,yes;no,label,its path or basename appears in tracked prose
harness,tested,computed,tools/build/tools-index.mjs,value,column,yes,yes;no,label,a file under tools/test/ exercises it
kits,namespace,computed,tools/build/kits-index.mjs,value,column,yes,,value,"the public handle: the last window.<name> assignment in the file, which the shelf's shape rule makes the namespace. Blank is the warning state: a kit nothing can reach by name"
kits,gloss,computed,tools/build/kits-index.mjs,counted,column,yes,,value,"the first sentence of the kit's own header comment, its filename prefix stripped. The header is the kit's authoritative doc, so this is read rather than authored; blank where the file opens with code, and blanks are counted rather than hidden"
kits,lines,computed,tools/build/kits-index.mjs,value,column,yes,,value,file length
kits,boot,computed,tools/build/kits-index.mjs,value,column,yes,yes;no,label,gh-boot.js loads it on every chain-boot page: a fact about what a page pays to start
kits,demo,computed,tools/build/kits-index.mjs,value,column,yes,yes;no,label,lib/kits/demos/<name>.html exists
