repo,artifact,script,where,script_sha,kind,term,requirement,a,a_mode,b,b_mode,failure,limit,blocks,unit,count
web-tools,lib/kits/route-activity.js,tools/test/app-routes.test.mjs,fold half,7864f23b71563b4333befd625e07ff027af979f3,behavioral expectation,unit test against a hand-built fixture,the fold ranks rows as specified and never dates a row it cannot speak for,route-activity.js output over FIXTURE,generated at test time,expected literals in the test,authored,a ranking rule changed without the fixture,anything about real repository data,ci,test calls,(part of file)
web-tools,docs/app-routes.csv,tools/test/app-routes.test.mjs,manifest half,7864f23b71563b4333befd625e07ff027af979f3,declaration conformance,architecture test: manifest against parsed code (ArchUnit family),the manifest and the VIEWS table name the same addresses,docs/app-routes.csv view keys,authored,VIEWS keys parsed from app/index.html,generated by reading code,a route added to one and not the other,that a row describes its view accurately,ci,test calls,(part of file)
web-tools,.claude/skills/web-tools/CONVENTIONS.md,tools/test/derived-artifacts.test.mjs,", ""the plugin's vendored conventions match docs/"" (CONVENTIONS.md iteration",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,transcription fidelity / regeneration test (a byte-for-byte copy rather than a computed derivation),".claude/skills/web-tools/CONVENTIONS.md is byte-identical to docs/CONVENTIONS.md, so a session's injected conventions are never behind the canonical doc",docs/CONVENTIONS.md,"authored, hand-edited",.claude/skills/web-tools/CONVENTIONS.md,"generated by `cp docs/CONVENTIONS.md ... .claude/skills/web-tools/` in .githooks/pre-commit, run whenever docs/ changes","docs/CONVENTIONS.md edited in a commit the hook never ran on (a project root above the repo, per this file's own opening comment, or --no-verify), leaving the vendored copy silently stale and confidently injected into future sessions","that the injected copy is being read at all in a given session; a repo with no plugin, or a PR the platform auto-creates, skips the injection path entirely per home's CLAUDE.md, which this check cannot see",ci,test calls,(part of file)
web-tools,.claude/skills/web-tools/SURFACING.md,tools/test/derived-artifacts.test.mjs,", ""the plugin's vendored conventions match docs/"" (SURFACING.md iteration",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,transcription fidelity / regeneration test,.claude/skills/web-tools/SURFACING.md is byte-identical to docs/SURFACING.md,docs/SURFACING.md,"authored, hand-edited",.claude/skills/web-tools/SURFACING.md,"generated by the same cp command as CONVENTIONS.md, same commit",same as CONVENTIONS.md's row,same as CONVENTIONS.md's row,ci,test calls,(part of file)
web-tools,tracker/board.csv,tools/test/derived-artifacts.test.mjs,.claude/skills/tasks/build-board.py record() --check; same test as tracker/board.md,6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,"tracker/board.csv, one row per task with its recognized frontmatter keys plus blockedBy/file/href/lastActivity/logEntries, matches the same script's recomputed output",tracker/board.csv (committed),"generated by build-board.py, same run as board.md",board_csv recomputed now,"same script, run fresh at test time",same as board.md; also lastActivity/logEntries silently going stale if a task's progress-log line is edited without touching frontmatter,same as tracker/board.md,ci,test calls,(part of file)
web-tools,tracker/board.md,tools/test/derived-artifacts.test.mjs,.claude/skills/tasks/build-board.py row()/record() --check; invoked by tools/test/derived-artifacts.test.mjs ('the tracker board matches tracker/tasks/',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,"tracker/board.md's four sections (On deck, In progress, Blocked, Done) list exactly the tasks build-board.py computes from the frontmatter of every tracker/tasks/*.md file, recomputed now",tracker/board.md (committed),generated by build-board.py from the flat frontmatter of every tracker/tasks/*.md file,"the same script's board_md string, recomputed now from a fresh read of tracker/tasks/","same script, run fresh at test time","a task file added, closed, or reassigned a status/depends-on without regenerating the board","that a task's depends-on id correctly names a real blocking relationship, only that its target task file exists and its settled/unsettled state is read correctly",ci,test calls,(part of file)
web-tools,tracker/board-tags.csv,tools/test/derived-artifacts.test.mjs,.claude/skills/tasks/build-board.py tag_rows() --check; same test as tracker/board.md,6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,"tracker/board-tags.csv, one row per (task id, open tag) pair, matches tag_rows() over every tracker/tasks/*.md file's un-recognized frontmatter keys, recomputed now",tracker/board-tags.csv (committed),"generated by build-board.py, same run as board.md/board.csv",tags_csv recomputed now,"same script, run fresh at test time","a task file gains, loses, or edits an open (non-recognized) frontmatter key without regenerating","that an open tag's value means what the reader assumes; the recognized-key/open-tag split is enforced, the tag's content is not",ci,test calls,(part of file)
web-tools,docs/themes.json,tools/test/derived-artifacts.test.mjs,scripts/duplicated-claims.py payload()/main() --emit --check; invoked by tools/test/derived-artifacts.test.mjs ('docs/themes.json matches the corpus the theme graph is read from',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,"re-derivation (rerun the deriver, compare bytes); the script's own docstring calls the underlying scan itself advisory, but the artifact-matches-source claim here is asserted, not advisory","docs/themes.json's node and edge list matches a fresh 10-word-shingle scan of every tracked, non-excluded .md file in the repo, computed right now",docs/themes.json (committed),"generated by duplicated-claims.py's shingle scan over git ls-files '*.md', excluding .claude/, tracker/tasks/, archive/, a few generated projections, and any docs.csv row marked status=record","payload(files, hits) recomputed now over the same corpus read fresh","same function, run fresh at test time","any tracked markdown file edited, added, or removed anywhere in the repo (the scan is repo-wide, not folder-scoped) without rerunning themes-graph; a docs.csv status changed to or from record without rerunning","that a reported pair is a real duplication worth fixing rather than a false positive (boilerplate, quoted text); the script's own header calls the underlying scan advisory",ci,test calls,(part of file)
web-tools,dist/app.js,tools/test/derived-artifacts.test.mjs,"tools/build/build-app.mjs --check block, invoked by tools/test/derived-artifacts.test.mjs ('dist/app.js matches lib/ and the app page'",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,dist/app.js holds exactly the bytes the same emitter produces from the reachability closure walked from app/index.html over lib/,dist/app.js (committed),generated by build-app.mjs's reachability walk,"buildKit.emit() over the files reached by walking string-literal paths and x-data names from app/index.html, recomputed now","same walker, run fresh at test time","app/index.html or a reached lib/ file changes (a new gh.load call, a new x-data name) without rebuilding dist/app.js",that the reach walk is complete; a path built at runtime (the walker's own documented limit) is invisible to it and could be silently missing from the artifact,ci,test calls,(part of file)
web-tools,dist/web-tools.js,tools/test/derived-artifacts.test.mjs,"tools/build/build-lib.mjs --check block, invoked by tools/test/derived-artifacts.test.mjs ('dist/web-tools.js matches lib/'",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,"regeneration test: rerun the deriver, compare bytes",dist/web-tools.js holds exactly the bytes buildKit.emit() produces right now from every lib/*.js file plus gh-api.js,dist/web-tools.js (committed),"generated by build-lib.mjs from lib/*.js, refreshed by the pre-commit hook when it runs","buildKit.emit({cache: every lib/*.js sorted, ghApiSrc, extraBoot}) recomputed now","same builder function, run fresh at test time","lib/ edited (a file added, removed, or changed) without dist/web-tools.js being rebuilt and committed, e.g. because the session's project root sat above the repo so .claude/settings.json's hook never loaded","that the pre-build's content is correct, or that gh-api.js (excluded from the cache and emitted separately) is current; only that the frozen artifact matches its declared source right now",ci,test calls,10
