field,audience,gloss,use_when,instead_of
gloss,reader,"What this row's subject is, in a sentence or two, for a reader who does not already know it.","The row names a thing (a view, an object, a fund, a doc, a tool) and a reader meeting it has to be told what it is before anything else is useful.","blurb, description, desc, summary, detail, what, role, subject, short, becomes"
narrative,reader,Authored prose meant to be read as prose: several sentences making an argument or telling the row's story.,The text would survive being lifted out of the table and read on its own. A gloss that has grown past three sentences and acquired a point is a narrative.,"body, prose, copy, lede, essay, assessment, discussion"
payload,reader,"Text the row exists to carry, rather than text about something else the row holds.","The row's value IS the text and nothing in it describes a neighbouring field: a prompt to send, a template to fill, a message body. Every other name here annotates a subject; this one is the subject.","prompt, template, message_body, payload_text"
rationale,reader,"Why this row's judgment or choice was made, as against the alternative.","The row records a decision somebody could have made differently: a mapping, an override, an exclusion, a classification, a freeze, a test worth writing.","why, reason, basis, premise, justification, argument, protects, browse_reason, mapping, unlocks"
use_when,reader,When to reach for this row's subject rather than its neighbour.,"The row is one of a set a reader has to choose among, and knowing what each IS does not tell them which to pick.","use, when, applies, pick_when, choose_when"
scope,reader,"What this row's subject covers, and what it deliberately does not.","Coverage is the fact a reader needs: which files a registry claims, which cases a mechanism reaches, what a check actually holds.","reaches, renders, covers, applies_to, extent, where, recognizes"
evidence,reader,"The measured check behind the row, with the figures in it.","There is a number, a count, or a reconciliation a reader could re-run. Evidence cites; rationale argues; upkeep says who keeps it true.","verify_seam, concordance, coverage, shows, finding, proof, measurement"
caveat,reader,"What limits, qualifies, or complicates the row, said where the row is read.",A reader who took the row at face value would be wrong in some specific and nameable way.,"comparison_basis, assumptions, wellformedness, implication, limit, warning, gotcha, boundary, misses, declines_to"
provenance,reader,"Where this row's content came from, and how it would be reproduced.","The content was pulled, derived, or assembled elsewhere, and a reader may need to get back to the thing behind it.","origin, method, reproduce, source_name, derived_from, built_by, acquired, transform, recorded_or_computed, trust_citation"
upkeep,editor,"What keeps this row true, and who or what does it.","The row can go stale, and the answer to 'what would catch that' is worth carrying beside it. Empty is an honest answer and says nothing holds it.","maintenance, check, held_by, kept_by, freshness"
open,editor,"What is unresolved about this row, and who or what has to resolve it.",The row is not finished and the remainder is a live question. A unit of work belongs in the tracker; this is the loose end that has to travel with the row.,"question, awaiting, next, work, todo, pending"
note,editor,Anything about this row with no more specific home. The deliberate catch-all.,None of the others fits and forcing one would misdescribe the text. A `note` column doing two jobs wants to be two columns.,"notes, comment, remark, misc, aside, realized_outbien_note"
quoted,reader,"Verbatim text from a source document, carried into the row unchanged.",The words are somebody else's and the row's value is that they are exact. The file should usually also be `supplied` in the content registry.,"verbatim, excerpt, citation_text, source_text, assertion_names"
