subject,where,relation,check
the skill roster,docs/portable.csv skill items,copy,"registry, both directions (portable-manifest.test.mjs)"
the skill roster,docs/PORTABLE.md Docs table,copy,two-way table test (portable-manifest.test.mjs)
the skill roster,docs/PORTABLE.md bag table,paraphrase,membership held via path mentions only; the prose is unchecked
the skill roster,docs/MARKETPLACE.md; .claude-plugin/marketplace.json description,pointer,
the doc and script membership of the portable set,docs/PORTABLE.md Docs and Scripts tables,copy,two-way table test (portable-manifest.test.mjs)
what each skill does,docs/portable.csv role; docs/PORTABLE.md table cells,paraphrase,"none; deliberately shorter per surface, honest while the owner is named"
the surfacing primitives,docs/surfacing.csv,paraphrase,"membership two-way on the bullet lead-ins (surfacing-manifest.test.mjs); the summaries themselves unchecked, honest while the doc is named authoritative"
the surfacing primitives,"other repos' CLAUDE.md restatements (home, chat-histories adaptations)",paraphrase,none; each declares itself an adaptation and names this doc as source
the working conventions text,.claude/skills/web-tools/CONVENTIONS.md and SURFACING.md,copy,byte equality (portable-manifest.test.mjs)
the working conventions text,the web-tools skill's runtime fetch,live read,none needed; reads main at use
the adoption commands,"docs/PORTABLE.md, How to adopt",copy,none; two hand-kept copies of the same commands
the toss routes (content type to renderer),pages/toss-render.html TOSS_ROUTES literal (inlined so the critical render path takes no fetch),copy,gate (routes-manifest.test.mjs)
"the showing mechanisms: which link reaches which change, and what each misses","CLAUDE.md, the one-trap quote",paraphrase,"word cap plus required pointer at showing.md (routes-manifest.test.mjs), guarding against the prose creeping home"
the MCP readback strips HTML from PR bodies,"docs/SURFACING.md, region-markers rationale",paraphrase,none; cites the measurement
"the GitHub MCP routing rule: on an unexpected approval wall, call the built-in server's equivalent",docs/github/mcp-server-routing.md (2026-07-15),paraphrase,"none: a superseded record, marked Stale on the paragraph that parted from the owner. Kept because the observation is dated evidence, not because it is current"
"the GitHub MCP routing rule: on an unexpected approval wall, call the built-in server's equivalent",the sandbox-traps skill,pointer,
the code layers and their admission rules,lib/kits/README.md Concept section,pointer,"none needed; the section was reduced to the kit's own admission rule and a link when the wider statement landed 2026-08-06, so it no longer restates the list it used to carry incompletely"
the code layers and their admission rules,tools/README.md Layout section,paraphrase,none; it owns the tools/ folder split in detail and code-layers.md names it as the owner rather than repeating it
the content registry classification vocabulary,"docs/properties.csv, the values column for creation_mode and analysis_use",copy,gate (content-domains.test.mjs): the declared domains are compared token for token against the bullets in the skill that owns them. Filed 2026-08-09 with no check and the honest admission that nothing held the two together; the check landed 2026-08-10
the house style for pages,docs/HTML-STYLE.md,pointer,"none needed since 2026-08-31: the doc held a second statement of the rules until then, 76 shared ten-word windows and the largest duplication in the repo, and was reduced to the names it is asked for plus a link"
the house style for pages,skills/daisy-alpine/references/mechanics.md,pointer,"none needed; it holds the other half, how to build rather than what to build, and names the skill as the binding one"
