key,type,consumer,status,required,summary
icon,string,show-repo,,,Phosphor icon class for the repo's estate card and header quick-link button. The repo owns it.
estate,boolean,show-repo,,,true to appear on the all-repo estate. Membership is a repo property; there is no central registry of repos.
group,string,show-repo,,,"The estate section this card sits in, e.g. 'core', 'data'."
note,string,show-repo,,,The card's one-line description. Overrides the GitHub description.
order,number,show-repo,,,Arrangement weight. Group order (a group sorts by its lowest member's order) and within-group order both derive from it.
inbox,string,show-repo,,,"Where an unaddressed deposit lands: 'inbox', '@ref:dir', or a full 'owner/repo[@ref]:dir'. Absent means the repo root. This is the repo's DEFAULT, and there is exactly one, because it answers a deposit addressed only to `owner/repo`, which carries nothing to discriminate on. A workspace's own tray is an `inbox` on its `projects` entry: many per repo, never automatic, reached by choosing it. The repo is its own root project, which is why that default lives here as a top-level key rather than as a synthetic entry in `projects`."
outbox,string,show-repo,,,Where this repo stages material for others to pull. Same shape as inbox; adds an 'Open outbox' row to the repo menu.
landing,string,show-repo,,,"Path to the repo's own landing page, rendered live via toss-render #gh=. Takes the front-door slot ahead of `pages`; the catalog then moves to a standalone Pages sidebar view rather than disappearing."
pages,array,show-repo,,,"A hand-declared page catalog. A repo with a non-empty `pages` gets the gallery: the same card grid web-tools gets from its generated pages/pages.csv, fed from this instead. Surfaces as the landing when there is no `landing` field, otherwise as a standalone Pages view."
pages[].path,string,show-repo,,yes,"A bare repo-relative path, or a qualified 'owner/repo[@ref]:path' cross-repo ref. The cross-repo form lets a repo promote a page whose file lives elsewhere."
pages[].title,string,show-repo,,no,The card's heading. Defaults to the filename.
pages[].note,string,show-repo,,no,The card's one-line description.
pages[].icon,string,show-repo,,no,"Phosphor class, used as the app-view icon when promoted."
pages[].thumb,string,show-repo,,no,"Path to a committed thumbnail. A private repo has none, so tiles render live instead."
pages[].project,string,show-repo,,no,The workspace this page belongs to (a `projects` entry's path). Only needed for a page that lives outside the workspace folder; the project view derives the rest by path prefix.
pages[].appView,boolean,show-repo,,no,"true to promote this page to its own estate-level view, a peer of Repos and Stage. Collected across every repo through the config cache and token-gated. Additive: the page still appears in its repo's gallery."
pages[].viewLabel,string,show-repo,,no,"Sidebar label for the promoted view. Defaults to title, then the filename."
pages[].order,number,show-repo,,no,"Sort weight within the catalog; undeclared reads as 0, and the tiebreak is the entry's position in the list. It has always ordered app views (loadEstateSidebar sorts on it); it was ignored by the gallery until 2026-08-05, which is why web-tools-private's order:40 on a non-appView entry did nothing while chat-histories' order:30 on an app view worked. Both surfaces honor it now."
